Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:254.23M (Peak 254.23M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Brass pedal.002
Fra:1 Mem:254.26M (Peak 254.26M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Pianist bench
Fra:1 Mem:254.46M (Peak 254.46M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Bench leg
Fra:1 Mem:254.44M (Peak 254.46M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Bench leg.003
Fra:1 Mem:254.44M (Peak 254.46M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 00_piano_Bench leg.001
Fra:1 Mem:254.51M (Peak 254.51M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Side foot rail
Fra:1 Mem:254.56M (Peak 254.56M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | gym_bench_label
Fra:1 Mem:254.56M (Peak 254.56M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Side foot rail.001
Fra:1 Mem:254.66M (Peak 254.67M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Inclined console post.001
Fra:1 Mem:254.76M (Peak 254.76M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread
Fra:1 Mem:254.77M (Peak 254.77M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.001
Fra:1 Mem:254.75M (Peak 254.77M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.003
Fra:1 Mem:254.77M (Peak 254.77M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.004
Fra:1 Mem:254.77M (Peak 254.77M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Cupholder rim
Fra:1 Mem:254.76M (Peak 254.77M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.009
Fra:1 Mem:254.83M (Peak 254.83M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.010
Fra:1 Mem:254.84M (Peak 254.84M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.011
Fra:1 Mem:254.86M (Peak 254.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.012
Fra:1 Mem:254.86M (Peak 254.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.013
Fra:1 Mem:254.86M (Peak 254.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.014
Fra:1 Mem:254.86M (Peak 254.86M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.015
Fra:1 Mem:254.87M (Peak 254.87M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 06_cinema_seat_Cupholder rim.001
Fra:1 Mem:254.87M (Peak 254.87M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.019
Fra:1 Mem:254.87M (Peak 254.87M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.020
Fra:1 Mem:254.91M (Peak 254.91M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.021
Fra:1 Mem:254.95M (Peak 254.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.022
Fra:1 Mem:254.95M (Peak 254.95M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.023
Fra:1 Mem:254.97M (Peak 254.97M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.024
Fra:1 Mem:254.97M (Peak 254.97M) | Time:00:00.18 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | 01_treadmill_Belt tread.026
