Blender 4.5.3 LTS (hash 67807e1800cc built 2025-09-09 01:38:15)
Fra:1 Mem:85.53M (Peak 85.53M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Garment_lapel.013
Fra:1 Mem:85.55M (Peak 85.55M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Folded_textiles.003
Fra:1 Mem:85.57M (Peak 85.57M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Folded_textiles.004
Fra:1 Mem:85.58M (Peak 85.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Handbag_body
Fra:1 Mem:85.62M (Peak 85.62M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Bag_clasp
Fra:1 Mem:85.73M (Peak 85.73M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Bag_handles
Fra:1 Mem:86.08M (Peak 86.08M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_shelf.004
Fra:1 Mem:86.08M (Peak 86.08M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_LED.004
Fra:1 Mem:86.09M (Peak 86.09M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Closet_LED.005
Fra:1 Mem:86.11M (Peak 86.11M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_front.004
Fra:1 Mem:86.15M (Peak 86.15M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_pull.004
Fra:1 Mem:86.23M (Peak 86.23M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Drawer_front.005
Fra:1 Mem:86.24M (Peak 86.24M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Bag_handles.001
Fra:1 Mem:86.28M (Peak 86.28M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Accessories_shelf
Fra:1 Mem:86.33M (Peak 86.33M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Accessories_LED
Fra:1 Mem:86.42M (Peak 86.42M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_sole
Fra:1 Mem:86.42M (Peak 86.42M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_upper
Fra:1 Mem:86.44M (Peak 86.44M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_sole.001
Fra:1 Mem:86.47M (Peak 86.47M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_upper.001
Fra:1 Mem:86.52M (Peak 86.52M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_opening.001
Fra:1 Mem:86.56M (Peak 86.56M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_sole.002
Fra:1 Mem:86.58M (Peak 86.58M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_upper.002
Fra:1 Mem:86.62M (Peak 86.62M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_sole.003
Fra:1 Mem:86.68M (Peak 86.68M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_upper.003
Fra:1 Mem:86.77M (Peak 86.77M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Shoe_opening.003
Fra:1 Mem:86.84M (Peak 86.84M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Accessories_shelf.001
Fra:1 Mem:86.86M (Peak 86.86M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Accessories_LED.001
Fra:1 Mem:86.88M (Peak 86.88M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Bag_handles.002
Fra:1 Mem:86.91M (Peak 86.91M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Handbag_body.001
Fra:1 Mem:86.95M (Peak 86.95M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Bag_flap.001
Fra:1 Mem:87.12M (Peak 87.12M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Bag_clasp.001
Fra:1 Mem:87.12M (Peak 87.12M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Accessories_shelf.002
Fra:1 Mem:87.11M (Peak 87.12M) | Time:00:00.03 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | closet__Accessories_LED.002
